ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_1	31	7	5	587	1	4	3	5	0	1	0	2	3	4	1	3	5	4	19	17	2	1	0	3	0	0	3	0	1	7	2	0	0	0	0	1	2	0	0	12	0	5	8	7	2	3	2	1	2	1	2	5	4	7	0	8	9	4	6	7	0	3	2
ASV_2	3	0	2	0	0	1	0	0	0	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	2	1	2	1	1	1	3	1	0	2	1	0	2	0	0	1
ASV_3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	23	6	5	0	0	3	1	0	0	0	1	0	0	0	0	11	0	0	0	0	1	86	2	51	2	94	2	12	24	13	17	12	52	2	9	0	110	2	418	0
ASV_4	4	0	0	2	4	275	3	4	0	9	8	30	3035	2	53	9	5	2	2	3	5	7	13521	3	2215	23301	16490	9	5	19	3199	6	2598	1538	3	461	10	4	4	3	1506	1776	2751	4	0	1	1	0	1	2	0	1	3	5	1	4	1	3	2091	2	1268	2	1
ASV_5	1220	115	124	93	109	86	123	165	106	190	171	69	147	46	80	117	114	71	54	180	98	11	13	31	40	23	34	37	19	42	15	14	15	13	11	99	67	22	24	60	12	185	517	3001	15	2707	32	610	53	1833	46	64	20	67	42	109	90	13	3817	26	141	19	452
ASV_6	393	21	258	132	139	125	208	464	185	244	201	235	260	129	112	145	469	350	214	226	361	162	185	264	235	173	135	151	233	257	92	134	90	135	110	203	226	199	164	94	33	58	106	513	26	487	62	458	106	865	58	111	108	314	229	320	372	161	742	297	100	259	305
ASV_7	269	54	118	130	496	661	287	459	291	365	461	417	841	186	234	320	428	1154	507	564	532	489	289	489	607	454	509	407	623	441	241	499	217	316	412	415	448	668	220	155	115	192	249	157	153	91	616	282	417	460	633	741	516	1411	1373	1283	684	1278	129	902	97	1248	32
ASV_8	9712	932	2657	1360	1460	1005	1514	2639	1508	2915	3986	2589	3140	1556	2510	2507	4208	2591	3393	3675	5511	2895	1787	3277	3606	2207	2229	3366	4315	3169	1246	2061	1485	1231	1346	2042	2644	1997	1513	2532	501	3792	6430	1478	51	788	142	694	327	742	169	312	170	402	330	361	874	331	883	637	480	384	212
ASV_9	10	1	6	5	6	6	7	19	13	6	22	18	18	15	14	17	24	11	20	18	25	0	0	1	0	0	3	0	6	0	1	1	0	0	0	0	0	0	0	0	0	1	2	6090	14	2949	35	488	47	1782	84	61	24	15	6	38	60	9	1008	15	40	5	52
ASV_10	78	68	2	4	5	4	1	3	54	10	193	6	1	1	2	3	0	8	0	5	5	70	4	6	5	675	4	11	4	942	298	17	0	23758	826	5	1282	6	214	5868	9713	9228	1297	3	0	14	0	7	0	10	0	0	0	2	0	4	0	1	2666	0	1	1	984
ASV_11	61	4	10	8	278	0	49	6	2	4	280	10	4	8	4	2165	7	962	22	33	8	75	1896	4413	5440	4237	1981	828	8463	2599	722	600	1434	2205	2488	3698	6144	1761	1158	2062	780	680	3857	87	0	161	351	28	0	3	1	0	1	1	2	3	336	1	733	5	578	0	113
ASV_12	217	26	13	9	14	32	12	9	17	20	13	14	18	4	6	5	12	10	5	12	11	0	2	2	0	1	4	4	2	4	5	1	1	3	4	2	8	2	7	14	0	24	74	441	9	89	40	2113	47	2858	33	51	42	53	35	49	61	21	4427	54	16	55	810
ASV_13	37	0	2	4	30	3	2	3478	2	6	5	3	7	3	1	1	4	3	4	0	0	0	9	4	4	4	3	6	13	3	0	2749	1	13	4	5476	5942	115	3	2	7	4	3	3	0	1	0	0	1	2	1	0	0	0	0	3	1	0	2	1	1	1	0
ASV_14	2	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	4	2	1	0	10	1	1	0	0	1	0	0	5	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	4	5	5	3	5	3	0	1	7	1	1	0
ASV_15	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	2	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	5	0	1	0	1	0	0	0	1	0	1	0	4	0	3	0	6	2	2	0
ASV_16	2	0	2	1	3	2	1	4	0	3	10	1	6	5	7	0	7	4	3	6	5	0	3	2	3	3	2	3	3	5	0	3	3	5	5	5	5	8	0	3	1	1	3	14	203	3	561	1	434	2	346	585	464	727	443	1098	316	264	4	1010	3	1898	3
ASV_17	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	1	1	0	0	0
ASV_18	2	0	0	0	0	0	2	0	5	0	0	2	0	2	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1
ASV_19	3	1	3	2	7	10	10	13	10	11	33	11	25	6	8	14	21	126	137	93	29	6	77	5	29	15	14	21	73	23	16	2	5	10	7	7	9	14	5	0	375	4	1	79	12	8	221	8	55	3	22	121	68	132	30	410	619	85	3	51	27	85	13
ASV_20	272	34	60	62	88	125	137	165	160	199	189	159	242	110	138	133	194	244	138	168	197	55	37	43	76	23	45	34	45	51	40	31	28	22	29	55	89	35	20	20	11	26	120	624	8	511	28	487	48	1142	35	55	42	27	30	37	46	18	1023	24	36	17	174
ASV_21	6	1	2	5	11	9	14	17	10	16	34	9	13	7	13	4	20	24	19	26	39	1	13	6	9	9	5	20	13	6	3	2	2	3	3	15	14	10	7	2	1	0	7	769	3	593	17	50	25	215	26	79	35	41	33	55	91	38	232	31	71	5	56
ASV_22	22	1	4	3	9	7	14	24	9	24	31	15	28	15	12	31	12	21	22	52	14	23	8	61	41	15	86	1	12	66	99	13	83	36	17	8	57	17	6	0	0	8	3	1	86	0	287	0	325	0	314	402	236	629	381	308	228	417	0	532	1	369	0
ASV_23	0	0	0	1	1	1	0	1	0	0	1	1	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0
ASV_25	659	58	94	156	324	218	342	287	221	325	306	218	319	164	193	108	234	210	251	263	218	74	259	174	399	219	75	519	460	120	29	278	38	131	201	517	301	255	285	241	65	377	1154	253	1	67	10	410	22	1223	10	9	11	37	21	24	83	28	1519	26	61	13	65
ASV_26	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ASV_27	484	101	414	384	702	1255	1065	1309	1201	1305	1110	895	1352	539	685	651	1122	1593	930	1151	1567	39	388	271	515	230	158	424	379	246	64	279	108	214	228	387	428	348	234	61	53	91	153	1348	2	195	2	69	10	136	4	6	1	7	10	7	75	7	137	37	146	10	138
ASV_28	772	107	330	538	1466	962	1361	1443	1133	1509	1220	1142	1421	724	784	1058	1207	526	555	601	575	2121	640	3606	1471	1364	1899	1560	1590	2959	1803	2244	2682	1588	1622	1727	1785	2101	1477	428	407	392	418	13	50	0	126	5	227	1	103	216	155	411	315	344	187	326	0	451	5	302	0
ASV_29	7	5	1	8	4	1	11	7	4	4	13	2	3	0	13	0	6	2	4	2	10	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	928	2	669	11	82	2	423	23	15	9	6	2	10	2	1	67	3	6	4	10
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	26	3	3	9	0	10	0	2	2	1	11	1	7	8	5	0	19	0	0	4	0	8	3	0	0	3	0	4	1	0	0	0	0	0	0	6	4	0	3	5	0	8	11	294	23	234	71	79	74	366	45	109	106	122	107	79	29	49	766	34	27	34	64
ASV_32	56	0	0	3	0	2	215	39	0	0	36	0	0	0	1	0	0	2	0	13	2	1	7524	2791	2003	2059	1863	25	1229	177	0	622	0	3101	5025	4355	3689	1	150	320	1627	3664	1549	327	0	45	1	18	0	3	0	0	0	0	0	0	1	8	489	0	19	1	136
ASV_33	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	12	0	0	0	0	0	0	1	1	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_35	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	41	0	151	0	175	0	168	256	100	376	272	304	10	177	0	269	0	356	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
ASV_38	88	17	52	100	486	2717	642	104	82	130	153	197	245	174	247	309	490	345	442	401	419	136	121	336	216	265	246	125	174	149	48	141	92	53	58	69	103	61	56	7881	245	15	12	7	17	8	118	0	18	0	34	63	33	47	56	70	4	28	2	11	10	90	0
ASV_39	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	6	0	2	10	8	3	0	20	16	6	0	8	0	0	0	3	11	3	0	0	0	2	1	76	0	61	0	1	0	2	3	23	4	2	0	34	4	17	24	0	31	0	8
