ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	2	0	0	1	0	0	22	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	366	406	290	419	501	849	367	47	1191	320	355	725	268	389	290	612	763	675	249	606	967	617	4	399	9	440	86	434	99	535	33	198	550	122	499	26	552	8	267	14	1098
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
ASV_26	0	0	0	0	0	0	3	3	0	6	2	8	0	3	0	2	0	0	5	1	5	0	0	0	0	0	0	2	0	0	0	0	0	0	60	2	0	3	12	9	0	14	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ASV_46	18	1	0	0	0	7	5	6	32	36	2	15	0	8	0	11	25	2	0	0	3	6	0	4	8	12	6	0	1	7	0	1	0	34	1	0	1	27	0	0	2	0	0	0	3	0	1	0	0	0	0	0	3	0	43	6	8	69	14	39	172	6	100
ASV_48	4238	4474	2006	3758	1560	3211	3732	2622	1558	2202	3808	2620	1933	1831	1877	1855	3372	1407	2782	2283	2756	498	1097	859	1084	922	1061	2100	1036	370	1755	900	1252	1264	635	1524	1462	1026	772	1936	642	1165	3104	322	9	305	12	302	404	300	29	50	63	1	39	0	363	16	441	22	313	11	416
ASV_60	0	0	0	0	2	0	2	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	1	62	32	35	94	3	0	3	1	36	0	14	0	0	0	27	55	41	1674	0	1	15382	19	7	17053	786	18	23902	40365	128	1878	32309	90	31387	7865	7595	29	34499	5384	2545	14725	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
