#OTUID	CN18FESPkoa_SC1	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18FESPkoa_SC59	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18S_koa3G_BN1post	CN18S_koa3G_BN1pre	CN18S_koa3G_BN2post	CN18S_koa3G_BN2pre	CN18S_koa3G_BN3post	CN18S_koa3G_BN3pre	CN18S_koa3G_SC29	CN18S_koa3G_SC30	CN18S_koa3G_SC31	CN18S_koa3G_SC57	CN18S_koa3G_SC58	CN18S_koa3G_SC59	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA	Flyer18Fc03_10_1	Flyer18Fc03_3_1	Flyer18Fc09_10_1	Flyer18Fc09_4_1	Flyer18Fc13_10_1	Flyer18Fc13_3_1	Lasker18Sc122_17	Lasker18Sc122_19	Lasker18Sc122_3	Lasker18Sc122_5	Lasker18Sc123_17	Lasker18Sc123_19	Lasker18Sc123_3	Lasker18Sc123_5	Lasker18Sc124_17	Lasker18Sc124_19	Lasker18Sc124_3	Lasker18Sc124_5	Lasker18Sc126_15	Lasker18Sc126_15_turt	Lasker18Sc126_17	Lasker18Sc126_17_turt	Lasker18Sc126_3	Lasker18Sc126_5	Lasker18Sc127_17	Lasker18Sc127_19	Lasker18Sc127_3	Lasker18Sc127_5	Lasker18Sc128_16	Lasker18Sc128_19	Lasker18Sc128_3	Lasker18Sc128_7	Lasker18Sc129_17	Lasker18Sc129_19	Lasker18Sc129_3	Lasker18Sc129_5	Lasker18Sc130_17	Lasker18Sc130_19	Lasker18Sc130_3	Lasker18Sc130_5	Lasker18Sc132_17	Lasker18Sc132_19	Lasker18Sc132_3	Lasker18Sc132_5	Lasker18Sc133_17	Lasker18Sc133_19	Lasker18Sc133_3	Lasker18Sc133_5	Lasker18Sc134_17	Lasker18Sc134_19	Lasker18Sc134_3	Lasker18Sc134_5	Lasker18Sc135_1	Lasker18Sc135_17	Lasker18Sc135_19	Lasker18Sc138_1	Lasker18Sc138_15	Lasker18Sc140_1	Lasker18Sc140_15	Lasker18Sc142_1	Lasker18Sc142_15	Lasker18Sc143_1	Lasker18Sc143_15	Lasker18Sc145_17	Lasker18Sc145_19	Lasker18Sc145_3	Lasker18Sc145_5	Lasker18Sc150_17	Lasker18Sc150_19	Lasker18Sc150_3	Lasker18Sc150_5	Lasker18Sc151_17	Lasker18Sc151_19	Lasker18Sc151_3	Lasker18Sc151_5	Lasker18Sc153_17	Lasker18Sc153_19	Lasker18Sc153_3	Lasker18Sc153_5	Lasker18Sc154_17	Lasker18Sc154_19	Lasker18Sc154_3	Lasker18Sc154_5	Lasker18Sc158_17	Lasker18Sc158_19	Lasker18Sc158_3	Lasker18Sc158_5
ASV_1	109	2049	2639	2750	1529	3387	2769	2477	1463	3624	3448	2985	2874	2651	2524	3270	3413	3108	1737	2835	2224	3158	0	210	1933	2808	1967	1671	4912	57	3688	3343	1134	3028	0	2402	2652	2288	2277	2830	2260	1885	1881	1925	1376	21023	8898	1367	8291	1112	9881	60	8726	9330	8852	0	0	0	0	0	0	13	17	48	0	0	0	10289	11133	12202	7714	12270	105	10929	3152	11106	305	124	11327	6295	98	6204	187	622	546	10016	3836	24	14	11051	11533	46	39	6656	3900	146	228	88	174	7094	8247	44	0	10123	9761	239	222	7497	6095	98	51	5459	9788	44	17	8648	6797	189	208	11842	12051	85	61	7467	5587	332	159	4345	7698	8139	15	19	8878	102	170	56	9605	24	6641	132	47	75	9340	7415	157	73	7210	12117	41	52	14134	13673	18	46	5250	7936	270	336	10197	9075	99	63	8111	8578
ASV_2	0	6667	8983	9106	5989	8635	8995	8490	3521	11390	11098	10441	8226	7687	9688	10038	10172	10716	6554	10351	7373	8452	0	552	7415	8749	8152	7124	12422	215	8080	8799	2231	9198	0	9296	8555	8491	8785	8609	8093	6885	8281	7325	4383	4324	1339	95	1554	147	2720	21	2015	1847	1886	0	0	13	0	0	0	0	0	0	0	0	0	2157	2211	2189	2469	2273	78	1979	663	1118	256	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	43	73	0	0	82	50	0	0	52	0	0	0	0	0	0	0	0	50	76	0	0	58	0	0	0	23	4	0	0	0	0	71	59	0	0	76	77	0	8	62	52	0	0	54	132	0	0	30	0	0	0	96	84
ASV_3	11	1609	2887	2029	1356	2695	2286	2008	900	3248	2720	2657	1959	2121	2417	2654	2783	2677	1586	1905	1849	1954	0	130	1830	2516	2178	2256	3332	56	2535	2316	629	2606	0	2083	2434	2332	2387	2302	2111	1962	2000	1845	1623	4227	83	512	75	497	154	48	97	116	80	0	0	0	0	0	0	0	0	18	0	0	0	135	132	147	349	165	285	182	1056	83	343	2330	2570	5299	3564	3393	7141	20272	17513	3908	1593	2708	2239	2454	2670	10494	10614	940	575	2011	4364	2476	4709	629	808	252	505	831	789	9551	10454	349	252	2297	1510	5876	9158	184	36	1905	1524	664	996	1342	1576	313	194	1593	1253	2073	986	4478	7664	2874	28	21	1729	1138	227	169	922	132	282	959	88	79	1991	1790	691	500	2267	3433	392	475	1496	1294	250	195	1706	2834	693	994	1074	776	306	229	3733	4479
ASV_4	26	93	78	62	34	74	57	59	35	105	83	88	80	66	66	82	100	65	44	56	73	76	0	4	32	44	58	42	87	7	74	57	25	73	0	57	54	76	65	54	73	78	47	76	57	2340	35	589	36	665	80	166	32	48	46	0	0	0	0	0	0	0	0	45	0	0	3	63	59	63	136	59	1136	51	1313	21	1374	588	69	54	387	23	191	199	175	224	68	10913	11971	560	445	162	100	137	89	1756	1463	2412	2768	158	250	4378	7608	255	353	547	634	102	0	2130	2285	967	1810	5210	4721	529	524	3336	5362	299	333	3833	2641	350	311	1052	1300	1963	3499	529	3431	4612	217	1936	4567	9969	109	2692	14	6689	2680	3623	245	191	11851	11389	533	711	10477	11819	280	234	13655	11638	808	1090	6643	9124	191	120	10182	9516	667	1291
ASV_5	0	516	450	292	269	567	437	457	247	600	453	523	471	452	359	494	578	492	309	444	390	460	0	21	255	342	410	353	595	10	343	331	100	529	0	406	410	500	429	405	404	462	267	445	382	4606	21	813	17	957	54	88	32	40	24	0	0	0	0	0	0	3	0	17	0	0	0	34	52	53	147	58	2288	57	1531	0	2096	1669	36	134	1478	33	527	581	451	108	47	650	874	148	119	1716	1434	0	0	3951	2803	4782	5531	11	24	3591	7010	20	13	3505	3744	0	0	4834	5579	140	271	1630	1198	272	213	2581	4646	122	200	3249	2534	200	153	2935	3189	939	1922	291	622	712	112	3013	1135	2591	22	1497	11	5067	1015	1074	143	91	3873	3133	246	307	4615	5109	123	108	3985	3035	311	392	2714	3482	92	65	3722	2978	388	592
ASV_6	9	1104	1126	735	553	1203	901	995	470	1271	980	1217	958	996	741	969	1206	1159	682	961	632	1014	0	49	488	787	510	720	1108	21	1046	722	232	1070	0	774	772	1044	646	827	873	747	466	657	790	21596	200	3095	168	4246	621	264	353	312	308	0	0	0	0	0	0	0	0	9	0	0	0	353	353	355	1255	423	1845	457	5000	120	794	1357	163	319	1412	140	822	1329	1068	421	186	514	746	377	431	63	55	47	49	1661	3018	2734	3916	40	24	776	1107	50	40	1094	1104	21	12	871	814	692	1261	677	185	1886	1548	952	1516	1130	1396	630	412	900	593	1191	789	2629	5813	1590	120	120	854	1824	264	933	213	407	25	1825	244	227	937	667	1534	1211	1273	2187	724	878	1213	1095	644	348	1340	2432	2510	3352	707	497	1112	902	2568	3050
ASV_7	0	403	336	214	154	268	197	236	109	309	260	280	232	250	170	211	310	296	159	192	192	194	0	10	116	166	204	156	332	10	224	180	80	239	0	237	246	317	186	206	199	293	152	354	334	3985	18	655	17	1178	56	143	33	28	31	0	0	0	0	0	0	0	4	0	0	0	2	35	35	42	104	44	2748	69	1711	0	2257	1709	0	62	1803	27	599	200	167	73	22	872	1127	58	85	64	53	0	0	779	626	898	1442	0	0	665	1687	0	0	443	473	0	0	1100	925	71	163	978	567	125	125	2059	3391	73	146	2626	2025	177	119	1648	1401	910	2087	177	298	330	77	2739	1379	2781	40	1878	0	1967	1658	1616	59	105	7046	6111	163	272	6963	8656	102	101	4535	3415	173	284	3182	5103	74	65	6349	4767	373	639
ASV_8	0	567	997	669	458	946	780	709	320	1166	878	846	655	714	812	841	939	859	521	741	682	758	0	64	624	898	746	770	1303	0	947	839	280	955	0	743	857	821	858	842	784	635	651	682	514	2526	102	373	74	478	150	37	111	90	82	0	0	0	0	0	0	0	0	0	0	0	0	138	116	90	237	148	213	125	679	106	233	357	1507	2546	595	1755	1109	2792	2478	2525	1012	538	509	959	1115	4254	4477	876	536	249	405	282	459	497	577	63	98	635	585	1192	1048	324	417	266	167	1833	2663	103	74	1042	935	691	872	815	1024	419	263	1101	788	1713	1187	2451	4296	1468	0	38	1084	897	248	309	660	124	325	692	94	145	1221	1055	417	374	1137	2012	430	445	842	796	202	156	951	1347	608	818	677	504	267	186	1824	2041
ASV_9	0	810	827	2132	2014	4179	2843	3017	1625	3131	3690	3685	2838	3113	2705	3810	2354	3631	2316	4087	3112	3802	0	145	2089	2530	2086	2343	2395	129	1625	1664	639	2417	0	2602	2769	2837	1533	2319	2388	2104	2087	1971	1549	4830	9	566	20	551	60	43	22	28	44	0	0	2	0	0	0	8	4	0	0	0	0	45	35	43	118	47	624	49	2261	23	2091	99	0	12	100	0	38	110	100	16	0	179	175	0	23	84	95	0	0	24	34	85	42	0	0	26	103	4	0	255	205	0	0	101	92	56	63	12	6	14	8	19	77	0	0	38	43	0	11	59	25	33	24	4	0	0	0	36	0	14	0	17	0	52	0	0	14	0	21	16	18	9	44	34	0	0	0	0	13	18	19	23	0	4	20	33	23	17
ASV_10	31	436	689	617	507	1354	662	841	510	1213	1117	1134	902	1047	857	777	906	1106	715	1089	1049	1050	0	89	595	1162	750	888	1750	51	1147	1134	427	1165	0	989	1195	1454	880	1204	1164	879	789	731	717	8367	50	1596	64	1795	192	200	104	86	60	0	0	5	0	0	0	0	0	16	0	0	0	101	116	100	368	115	62	139	2110	40	1130	807	71	280	668	105	534	1201	1147	273	101	134	83	178	198	1331	1666	60	24	920	1704	1242	2765	23	40	369	990	31	31	1779	1788	35	0	1224	1284	501	912	121	83	571	450	300	430	269	275	419	249	319	204	436	401	1244	3076	513	27	43	224	348	101	179	60	48	0	492	81	68	330	317	308	227	411	707	123	175	204	189	188	291	514	764	567	725	128	136	315	225	617	838
